pH,Charge
0,32.99291733636237
0.1,32.991090339452086
0.2,32.9887942850383
0.3,32.98591003287044
0.4,32.98228891826658
0.5,32.9777458551076
0.6,32.97205106448041
0.7,32.96492028930408
0.8,32.95600342296602
0.9,32.94487160596798
1.0,32.93100305126841
1.1,32.91376816698342
1.2,32.89241496162585
1.3,32.86605621454944
1.4,32.83366037639516
1.5,32.79404842311035
1.6,32.7458985688552
1.7,32.687759366338675
1.8,32.61806881837687
1.9,32.535172564376985
2.0,32.437328705190765
2.1,32.32268238195366
2.2,32.18919297081911
2.3,32.034503796051304
2.4,31.855759537151947
2.5,31.649397006989474
2.6,31.41095414164201
2.7,31.13495284211174
2.8,30.814910051320926
2.9,30.44351905728447
3.0,30.01302267488989
3.1,29.51577368380208
3.2,28.9449457915598
3.3,28.29532207972109
3.4,27.56405549951363
3.5,26.75128317765364
3.6,25.860498750625805
3.7,24.898645568925115
3.8,23.875963367346355
3.9,22.805658696301414
4.0,21.70344429220749
4.1,20.58691927334999
4.2,19.474702528585212
4.3,18.385252903113923
4.4,17.335426338066064
4.5,16.33897241728895
4.6,15.405265750877494
4.7,14.538540173310478
4.8,13.73776064142452
4.9,12.997102356844799
5.0,12.306886238805657
5.1,11.654780855993245
5.2,11.027111310202487
5.3,10.410176056986941
5.4,9.791522772634883
5.5,9.161148588307537
5.6,8.512563108321139
5.7,7.843599841171761
5.8,7.156815667399275
5.9,6.459319426346435
6.0,5.761948979808978
6.1,5.077865526986065
6.2,4.420803238988625
6.3,3.8033242606368445
6.4,3.235425688826773
6.5,2.72372594912267
6.6,2.271280633602502
6.7,1.877919458873632
6.8,1.5409086545409274
6.9,1.255734784335525
7.0,1.0168516591807157
7.1,0.8182971426935515
7.2,0.6541452552017506
7.3,0.5187991503447402
7.4,0.40715149678856455
7.5,0.3146453028057894
7.6,0.23726613700410937
7.7,0.17149075229812705
7.8,0.11421032528810726
7.9,0.06264043331863611
8.0,0.014225094869405597
8.1,-0.033461241360841054
8.2,-0.08281211799355881
8.3,-0.13628752161034718
8.4,-0.19651244755295116
8.5,-0.26637544928972146
8.6,-0.3491262602263083
8.7,-0.4484703073227223
8.8,-0.5686563207204269
8.9,-0.7145514986162849
9.0,-0.8916970855596793
9.1,-1.1063359585611618
9.2,-1.3654027240986764
9.3,-1.676465074354829
9.4,-2.047601213067181
9.5,-2.487190617204102
9.6,-3.0035847154605255
9.7,-3.604614691393885
9.8,-4.296894677207049
9.9,-5.084901526927284
10.0,-5.9698656607931415
10.1,-6.948590545889097
10.2,-8.012416018420907
10.3,-9.146619638778976
10.4,-10.330562427831403
10.5,-11.538785452710638
10.6,-12.743043680345215
10.7,-13.914982134420685
10.8,-15.028933105136215
10.9,-16.06425476553699
11.0,-17.006775468413913
11.1,-17.849184545975067
11.2,-18.590492530532146
11.3,-19.23486539842535
11.4,-19.79018299085173
11.5,-20.266610933454846
11.6,-20.67536611658477
11.7,-21.027748897904235
11.8,-21.334438565060168
11.9,-21.605008970770456
12.0,-21.847612842358025
12.1,-22.068795427687835
12.2,-22.27341927111216
12.3,-22.464700807720433
12.4,-22.644366597580362
12.5,-22.812927374449224
12.6,-22.9700444867883
12.7,-23.114936948956235
12.8,-23.24676273899501
12.9,-23.36491444933748
13.0,-23.469194916128895
13.1,-23.559871366639925
13.2,-23.63763341235996
13.3,-23.70349302888529
13.4,-23.75866360729105
13.5,-23.804445520783986
13.6,-23.84213359787908
13.7,-23.87295167339152
13.8,-23.898012692089846
13.9,-23.918299526762823
14.0,-23.93466078553533
